term_PT,term_HLT,term_HLGT,term_SOC
poverty,economic circumstances,economic and housing issues,social circumstances
implant site haematoma,implant and catheter site reactions,administration site reactions,general disorders and administration site conditions
peripheral sensory neuropathy,peripheral neuropathies nec,peripheral neuropathies,nervous system disorders
hepatitis neonatal,hepatocellular damage and hepatitis nec,hepatic and hepatobiliary disorders,hepatobiliary disorders
prophylaxis against alcoholic withdrawal syndrome,drug withdrawal therapies,therapeutic procedures and supportive care nec,surgical and medical procedures
cisternal puncture,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
biopsy stomach abnormal,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
campylobacter gastroenteritis,campylobacter infections,bacterial infectious disorders,infections and infestations
abnormal product of conception,abortion related conditions and complications,abortions and stillbirth,"pregnancy, puerperium and perinatal conditions"
blood triglycerides abnormal,triglyceride analyses,lipid analyses,investigations
aortic annulus rupture,cardiac and vascular procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
bladder catheter replacement,therapeutic bladder catheterisation,renal and urinary tract therapeutic procedures,surgical and medical procedures
gastric sarcoma,gastric neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
pancreatic pseudoaneurysm,pancreatic disorders nec,exocrine pancreas conditions,gastrointestinal disorders
eye exercises,eye therapeutic procedures nec,eye therapeutic procedures,surgical and medical procedures
eyelid myoclonus,eyelid movement disorders,ocular neuromuscular disorders,eye disorders
rickettsioses not tick borne,rickettsial infectious disorders nec,rickettsial infectious disorders,infections and infestations
thyroid cancer stage iii,thyroid neoplasms malignant,endocrine neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
extragonadal primary germ cell tumour mixed stage iii,extragonadal primary germ cell neoplasms,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
injection site injury,injection site reactions,administration site reactions,general disorders and administration site conditions
electronystagmogram abnormal,ophthalmic function diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
pelvic inflammatory disease mycoplasmal,mycoplasma infections,mycoplasmal infectious disorders,infections and infestations
activated partial thromboplastin time normal,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
lipofibroma,soft tissue neoplasms benign nec,soft tissue neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
blood immunoglobulin a normal,immunoglobulin analyses,immunology and allergy investigations,investigations
mammogram normal,reproductive organ and breast imaging procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
adenocarcinoma of colon,colorectal neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
blood pressure diastolic increased,vascular tests nec (incl blood pressure),cardiac and vascular investigations (excl enzyme tests),investigations
testicular abscess,male reproductive tract infections,infections - pathogen unspecified,infections and infestations
corynebacterium test positive,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
retro-pubic prostatectomy,prostatic therapeutic procedures,male genital tract therapeutic procedures,surgical and medical procedures
secondary thrombocytosis,thrombocytoses,platelet disorders,blood and lymphatic system disorders
normal pressure hydrocephalus,hydrocephalic conditions,increased intracranial pressure and hydrocephalus,nervous system disorders
anal cancer stage ii,anal canal neoplasms malignant,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
necrotising retinitis,"retinal, choroid and vitreous infections and inflammations","ocular infections, irritations and inflammations",eye disorders
ocular retrobulbar haemorrhage,ocular bleeding and vascular disorders nec,ocular haemorrhages and vascular disorders nec,eye disorders
allen's test,vascular tests nec (incl blood pressure),cardiac and vascular investigations (excl enzyme tests),investigations
pantoea agglomerans infection,bacterial infections nec,bacterial infectious disorders,infections and infestations
colour blindness acquired,colour blindness (incl acquired),vision disorders,eye disorders
fungal test negative,fungus identification and serology,microbiology and serology investigations,investigations
ear neoplasm,aural neoplasms malignant and unspecified,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
apoptosis,cell metabolism disorders nec,metabolism disorders nec,metabolism and nutrition disorders
periorbital haemorrhage,eye injuries nec,injuries nec,"injury, poisoning and procedural complications"
vaginal haemorrhage,vulvovaginal disorders nec,vulvovaginal disorders (excl infections and inflammations),reproductive system and breast disorders
umbilical cord blood ph,foetal and neonatal diagnostic procedures,foetal and neonatal investigations,investigations
plethysmography,investigations nec,"investigations, imaging and histopathology procedures nec",investigations
klebsiella infection,klebsiella infections,bacterial infectious disorders,infections and infestations
stickler's syndrome,retinal disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
ovarian dysgerminoma stage iv,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
optic nerve injury,cranial nerve injuries,injuries nec,"injury, poisoning and procedural complications"
myeloperoxidase deficiency,immune system abnormalities congenital,immune system disorders congenital,"congenital, familial and genetic disorders"
inflammatory carcinoma of breast stage iv,breast and nipple neoplasms malignant,breast neoplasms malignant and unspecified (incl nipple),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
