,term_PT
1131,hepatitis e
1132,solar urticaria
1133,antisynthetase syndrome
1134,adenoid cystic carcinoma
1135,exposure to unspecified agent
1136,alpha-1 anti-trypsin
1137,female sexual dysfunction
1138,malignant nipple neoplasm male
1139,antimicrobial susceptibility test
1140,uterine dehiscence
1141,eyelid ptosis
1142,asbestosis
1143,incision site impaired healing
1144,low luminance best-corrected visual acuity decreased
1145,cornea verticillata
1146,"peptic ulcer perforation, obstructive"
1147,dermatofibroma removal
1148,glucosylceramide
1149,endocarditis rheumatic
1150,coagulation factor viii level abnormal
1151,reverse tri-iodothyronine increased
1152,ocular dysmetria
1153,anosmia
1154,negative thoughts
1155,kniest dysplasia
1156,faciobrachial dystonic seizure
1157,bordetella test
1158,transfer factor reduced
1159,type 1 diabetes mellitus
1160,epistaxis
1161,urine arsenic decreased
1162,acquired lipoatrophic diabetes
1163,tattoo excision
1164,biliary polyp
1165,enzyme activity normal
1166,olfactory nerve agenesis
1167,serum procollagen type i n-terminal propeptide increased
1168,autoimmune arthritis
1169,calyceal diverticulum
1170,epiglottidectomy
1171,csf valve irrigation
1172,tonsillectomy
1173,acrodynia
1174,life support
1175,arteriovenous graft site necrosis
1176,rebound nasal congestion
1177,congenital cranial nerve paralysis
1178,pithiatism
1179,parasitic oesophagitis
1180,vaginal ph normal
1181,muscle mass
1182,acid base balance
1183,vibration test
1184,pulmonary congestion
1185,sulphur dioxide test
1186,skin graft rejection
1187,oesophageal neoplasm
1188,external ear disorder
1189,congenital coagulopathy
1190,staphylococcal toxaemia
1191,cardiac telemetry normal
1192,young mania rating scale
1193,gastrooesophageal cancer recurrent
1194,hodgkin's disease
1195,end-tidal co2 decreased
1196,dna antibody positive
1197,cutaneous t-cell lymphoma stage iv
1198,susac's syndrome
1199,toxic erythema of chemotherapy
1200,peripheral oedema neonatal
1201,renal arteritis
1202,oesophageal oedema
1203,precursor b-lymphoblastic lymphoma
1204,post herpetic neuralgia
1205,phlebectomy
1206,iris haemorrhage
1207,infusion site mobility decreased
1208,precancerous lesion excision
1209,blood donation
1210,ph semen abnormal
1211,yersinia test negative
1212,fructose semen decreased
1213,"hallucination, visual"
1214,polymyositis
1215,subarachnoid abscess
1216,vulvovaginal adenosis
1217,repair of urinary tract injuries
1218,injury
1219,corneal disorder
1220,mental status changes
1221,parametric abscess
1222,grey syndrome neonatal
1223,ampullary polyp
1224,monocyte count decreased
1225,visual acuity tests abnormal
1226,"delusional disorder, persecutory type"
1227,spondylolisthesis
1228,blood insulin normal
1229,laryngeal inflammation
1230,intra-cranial lesion excision
1231,infusion site extravasation
1232,haemoglobin lepore trait
1233,liver sarcoidosis
1234,genital erosion
1235,muscle relaxant drug level above therapeutic
1236,cerebrosclerosis
1237,congenital nephrogenic diabetes insipidus
1238,thoracic cavity drainage test abnormal
1239,cytophagic histiocytic panniculitis
1240,red blood cell hyperchromic morphology present
1241,deafness neurosensory
1242,b-cell lymphoma
1243,multiple birth sibling
1244,post procedural hypoparathyroidism
1245,puberty
1246,prader-willi syndrome
1247,serum colour abnormal
1248,acute motor-sensory axonal neuropathy
1249,perinatal stroke
1250,uterine inflammation
1251,ovarian germ cell choriocarcinoma stage ii
1252,spinal decompression
1253,gastrointestinal anastomotic stenosis
1254,polycystic liver disease
1255,nasogastric output normal
1256,blood pressure fluctuation
1257,proctoscopy abnormal
1258,laryngitis
1259,ejection fraction decreased
1260,radiotherapy to head and neck
1261,nausea
1262,thyroid function test normal
1263,gonococcal infection
1264,occupational dermatitis
1265,oestrogens total urine increased
1266,neuroendocrine carcinoma of the skin
1267,cold sweat
1268,device computer issue
1269,amblyopia tobacco
1270,blood alcohol abnormal
1271,optic neuritis
1272,caesarean delivery on maternal request
1273,electrocardiogram t wave inversion
1274,tetrahydrocortisol urine increased
1275,diabetic foot
1276,blood thromboplastin normal
1277,acute chest syndrome
1278,discordant twin
1279,subcorneal pustular dermatosis
1280,17 ketosteroids urine abnormal
1281,phimosis
1282,pulmonary hypoperfusion
1283,hypervitaminosis
1284,ear operation
1285,sucrose intolerance
1286,stoma site irritation
1287,blood urea nitrogen/creatinine ratio increased
1288,meningitis leptospiral
1289,biopsy pharynx abnormal
1290,sphenoid bone dehiscence
1291,immune reconstitution inflammatory syndrome
1292,blood osmolarity decreased
1293,blood pressure management
1294,orthostatic hypertension
1295,anaplastic oligodendroglioma
1296,xanthelasma
1297,nodular fasciitis
1298,anti-ia2 antibody negative
1299,incision site inflammation
1300,sexual dysfunction
1301,carbuncle
1302,excessive eye blinking
1303,left ventricular false tendon
1304,infestation
1305,familial periodic paralysis
1306,electrocardiogram p wave normal
1307,metacarpal excision
1308,rectal polypectomy
1309,vasculitic ulcer
1310,urine casomorphin normal
1311,gingivitis ulcerative
1312,hysteroscopy
1313,failed examinations
1314,binocular eye movement disorder
1315,parkinson's disease psychosis
1316,blood test abnormal
1317,pulmonary arterial pressure
1318,atrioventricular dissociation
1319,pneumococcal infection
1320,bladder injury
1321,meningitis haemophilus
1322,intradialytic parenteral nutrition
1323,spinal vessel congenital anomaly
1324,injury corneal
1325,n-telopeptide urine abnormal
1326,vertebral osteophyte
1327,portal venous gas
1328,superinfection mycobacterial
1329,wound haemorrhage
1330,mesenteric arterial occlusion
1331,barakat syndrome
1332,limbic encephalitis
1333,trunk injury
1334,haemoglobin distribution width
1335,respiratory symptom
1336,immunoelectrophoresis
1337,testicular germ cell tumour mixed stage i
1338,decerebrate posture
1339,factor v inhibition
1340,endocrine ophthalmopathy
1341,pharyngeal dyskinesia
1342,infarction
1343,respiratory paralysis
1344,infrequent bowel movements
1345,ophthalmic herpes zoster
1346,blood alcohol
1347,endometrial cancer stage iv
1348,skin hypopigmentation
1349,endocrinopathy diencephalic
1350,protein c deficiency
1351,transsphenoidal surgery
1352,brucella test
1353,cyclic amp abnormal
1354,adenosine deaminase increased
1355,bifidobacterium infection
1356,pulmonary haematoma
1357,stillbirth
1358,nipple swelling
1359,device lead damage
1360,cytomegalovirus immunisation
1361,bergmeister's papilla
1362,milker's nodules
1363,cutaneous nocardiosis
1364,maintenance of anaesthesia
1365,arteriotomy
1366,urticarial vasculitis
1367,renin increased
1368,erythema elevatum diutinum
1369,pancreatolithiasis
1370,interferon alpha level
1371,diverticulectomy
1372,ultrasonic angiogram normal
1373,thyroid c-cell hyperplasia
1374,vascular access site inflammation
1375,cardiac arrest
1376,ciliary hyperaemia
1377,optic nerve neoplasm
1378,alpha-thalassaemia-intellectual deficit syndrome
1379,radiation vulvovaginitis
1380,laryngeal cancer stage iii
1381,congenital vesicoureteric reflux
1382,acquired von willebrand's disease
1383,stool chymotrypsin decreased
1384,soft tissue excision
1385,alveolar oxygen partial pressure increased
1386,burkitt's lymphoma refractory
1387,bartonella test positive
1388,uterine stenosis
1389,meningomyelocele
1390,scleral operation
1391,shigella sepsis
1392,peritoneal effluent leukocyte count increased
1393,procalcitonin increased
1394,haemorrhage intracranial
1395,gynaecological examination abnormal
1396,blood proinsulin abnormal
1397,vulval neoplasm
1398,cardiovascular function test
1399,stroke volume
1400,dependence on oxygen therapy
1401,varicophlebitis
1402,congenital syphilitic meningitis
1403,oesophageal manometry
1404,lactate pyruvate ratio decreased
1405,serratia bacteraemia
1406,flap necrosis
1407,troponin i normal
1408,medical device site injury
1409,mucosal inflammation
1410,epstein barr virus positive mucocutaneous ulcer
1411,radioisotope scan normal
1412,congenital acrochordon
1413,monocyte chemotactic protein-1 increased
1414,anti factor viii antibody negative
1415,paranasal biopsy normal
1416,anticholinergic syndrome
1417,substance-induced psychotic disorder
1418,galactose elimination capacity test
1419,implant site erythema
1420,device chemical property issue
1421,face presentation
1422,alexia
1423,extracorporeal shock wave therapy
1424,post-anoxic myoclonus
1425,icterus index decreased
1426,disease susceptibility
1427,coronary artery embolism
1428,autoantibody negative
1429,infective tenosynovitis
1430,spinal fracture treatment
1431,alcoholic hangover
1432,natural killer cell activity decreased
1433,endocrine test normal
1434,amoebic dysentery
1435,community acquired infection
1436,bladder telangiectasia
1437,testicular appendage torsion
1438,gastrointestinal disorder therapy
1439,hyperreactio luteinalis
1440,b-cell small lymphocytic lymphoma stage iv
1441,ammonia normal
1442,soft tissue haemorrhage
1443,infective thrombosis
1444,anti-myelin-associated glycoprotein associated polyneuropathy
1445,infection in an immunocompromised host
1446,antidepressant drug level
1447,infusion site scab
1448,blood osmolarity normal
1449,macrophages decreased
1450,acne
1451,intramedullary rod insertion
1452,borrelia test positive
1453,thyroiditis fibrous chronic
1454,"fructose-1,6-bisphosphatase deficiency"
1455,spinal x-ray
1456,autologous haematopoietic stem cell transplant
1457,mentally late developer
1458,coagulation factor xiii level increased
1459,hepatitis b dna assay negative
1460,scleral deposits
1461,free prostate-specific antigen positive
1462,strabismus congenital
1463,vessel puncture site erythema
1464,myolipoma
1465,alpha-1 anti-trypsin normal
1466,radical mastectomy
1467,bedridden
1468,jc polyomavirus test
1469,high grade b-cell lymphoma burkitt-like lymphoma stage i
1470,expiratory reserve volume
1471,brain stem glioma
1472,wolff-parkinson-white syndrome congenital
1473,myofascial spasm
1474,blood chromium increased
1475,epididymitis mumps
1476,skull fracture
1477,oral cavity fistula
1478,general physical condition normal
1479,arterial thrombosis
1480,multiple endocrine neoplasia type 2
1481,splenic hamartoma
1482,vasospasm
1483,abdominal migraine
1484,skin plaque
1485,rhabdomyolysis
1486,pocket erosion
1487,central nervous system stimulation
1488,urine delta aminolevulinate normal
1489,abducent nerve operation
1490,medical device site urticaria
1491,platelet count abnormal
1492,pseudosyndactyly
1493,breast angiosarcoma
1494,calcitonin stimulation test
1495,genital abscess
1496,olfactory test abnormal
1497,vaccination site nerve damage
1498,botryomycosis
1499,pulmonary arteriopathy
1500,anger
1501,hepatitis a antigen negative
1502,manufacturing material testing deviation
1503,intestinal t-cell lymphoma stage i
1504,scarlet fever
1505,intracranial germ cell tumour
1506,magnetic resonance imaging breast normal
1507,enthesopathy
1508,beta ketothiolase deficiency
1509,congenital megacolon
1510,coproporphyrinogen increased
1511,barbiturates
1512,attention deficit hyperactivity disorder
1513,b-cell lymphoma recurrent
1514,trismus
1515,oropharyngeal surgery
1516,meningococcal sepsis
1517,electrocardiogram qt interval abnormal
1518,panendoscopy
1519,prekallikrein decreased
1520,qrs axis abnormal
1521,xxx syndrome
1522,congenital hypercoagulation
1523,infusion site hypoaesthesia
1524,vaccination site joint erythema
1525,intraosseous meningioma
1526,activated partial thromboplastin time
1527,upper respiratory tract inflammation
1528,pancreatic carcinoma recurrent
1529,disorientation
1530,endothelin normal
1531,artificial kidney device user
1532,lip repair
1533,syphilis anal
1534,muscle neoplasm
1535,gait inability
1536,congenital bronchomalacia
1537,perinatal brain damage
1538,flashback
1539,bone marrow basophilic leukocyte count increased
1540,temperature perception test increased
1541,cryptosporidiosis infection
1542,injection site irritation
1543,artery dissection
1544,oral tuberculosis
1545,sinus disorder
1546,globulin urine
1547,reticulocyte haemoglobin equivalent
1548,postictal headache
1549,gynaecomastia
1550,vaginal oedema
1551,infusion site hypertrichosis
1552,reperfusion arrhythmia
1553,meningism
1554,musculoskeletal cancer
1555,interruption of aortic arch
1556,iron binding capacity unsaturated decreased
1557,marital problem
1558,modified rodnan skin score normal
1559,neonatal anoxia
1560,laryngeal dyspnoea
1561,neonatal asphyxia
1562,shoulder arthroplasty
1563,liver operation
1564,blood glucose increased
1565,peak nasal inspiratory flow decreased
1566,eye prosthesis removal
1567,retinal tear
1568,immunoreactive trypsinogen decreased
