somnolence,knocked me out,headaches
somnolence,sleep for days,dizziness
somnolence,sleeping,miserable
somnolence,barely keep my eyes open,dry nose
somnolence,unconscious,no taste
somnolence,drowsy,knocked me sidewards
somnolence,drowsy,alcoholism
somnolence,just about dead,withdrawl
somnolence,waking up without knowing i feel asleep,gain weight
somnolence,sleepy,tingling
somnolence,sleepy,burns
somnolence,feels like one of those 5-cup #coffee days,hyper-sensitive
somnolence,drowsy,neuro problems
somnolence,need to be awake,addictive
somnolence,nap time,needing my inhaler
somnolence,falling asleep every day,like i'm having a heart attack
somnolence,prop my eyelids open,rant
somnolence,troubles waking up,kidney stones
somnolence, sleeping 18 hrs a day ,cognitive problems
somnolence,groggy in the morning,retarded
somnolence,drowsy,pee way too much
somnolence,whacks me out,mean
somnolence,drowsy,grinds the shit out of their teeth
somnolence,whacks me out,weight gain
somnolence,don't want to get up,shoulder
somnolence,drowsy,quality
somnolence,just woke up,hallucinate
somnolence,difficult to wake up,knocks you outttttttt
somnolence,troubles waking up,withdrawal
somnolence,sleepy,alcoholism
somnolence,sleeping,appetite is still terrible
somnolence,14 hour nap,withdrawal
somnolence,like wading through treacle getting up,cramps
stevens-johnson syndrome,steven johnson syndrome,put on weight
stress,stressful,can't run
stress urinary incontinence,stress incontinence,dreams
suicidal ideation,suicidal thoughts,pins &amp; needles
suicidal ideation,suicidal,tweakin out
suicidal ideation,thoughts of suicide,irritable
suicidal ideation,suicidal,"neck, back, hip, and leg aches"
suicidal ideation,thoughts of suicide,raised my blood pressure
systemic lupus erythematosus,lupus flare,withdrawal
tachyphrenia,may not switch your brain off,nausea
tachyphrenia,mind races,3 days of hell
tachyphrenia,may not switch your brain off,stay up all night
tachyphrenia,think too much ,olanzapine lbs
tachyphylaxis,stopped working,withdrawal
tachyphylaxis,stopped working,disturbed sleep
tachyphylaxis,tolerant,value your brain cells
tachyphylaxis,tolerance,sleepies
tachyphylaxis,lost effectiveness,zombified
tachyphylaxis,tolerance,neck
tachyphylaxis,doesn't even work for me anymore,hurt
tachyphylaxis,stopped working,stop breathin
tachyphylaxis,stopped working,leg is itching
tachyphylaxis,tolerant,thirsty
tachyphylaxis,not working as well,pee way too much
taste disorder,taste,worsening pain
tendon pain, tendons in lots of pain,symptoms of schizophrenia
tendon rupture,tendon rupture,hangover
tendonitis,tendonitis,coma
tension,tension in my nerves,nosleep
thinking abnormal,irrational,loss of appetite
thinking abnormal,common for apartments to be haunted,irritable
thirst,thirsty,digestive problems
throat irritation,throat is raw,sick
thyroid disorder,thyroid,tired
tourette's disorder,tourettes,sleepy
toxicity to various agents,toxicity,crazier
toxicity to various agents,toxicity,dizzy
toxicity to various agents,toxic,hard to digest
tremor,shaking,high
tremor,shaking,dream
tremor, tremors,convulsions
tremor,shakes,hurt
tremor,tremors in hands,zombieish
tremor,tremors in hands,restlesslegs
tremor,tremors in hands,nocturnal
tremor,shakes,thyroid
tremor, tremors,seizures
tremor,shaky,appetite is still terrible
tremor,body would rock ,withdrawal
tremor,tremors in hands,mania
tremor,tremors,panic attack
tremor,tremors,nap
upper-airway cough syndrome,drip,angry
urinary incontinence, like niagara falls when i cough,sad
vertigo,head is spinning,sleep walking
vertigo,going to my head,weird dreams
vertigo,going to my head,allergic reaction
vision blurred,vision blurry,seizures
vision blurred,blurry vision,sweatin
vision blurred,blurry-eyed,slept 10 hrs
visual impairment,eyesight,headache
visual impairment,eyesight,shivering
visual impairment,eyesight,unconscious
visual impairment,eyes worse,coming off effexor was the worst
visual impairment,eyesight,tendonitis
vitamin d deficiency,vitamin d malsorption,ataxia
vomiting,puking,like i'm having a heart attack
vomiting,vomitting,screwing up my sleep
vomiting,vomitting,tendon rupture
vomiting,vomitting,libido
vomiting,vomits,gastro pain
vomiting,vomitting,sleepy
vomiting,urge to vomit,ocd
weight decreased,wt loss,never sleep
weight decreased,lost tons of weight,like i'm having a heart attack
weight decreased,lost 4 stone,no legit sex
weight decreased,wt loss,drip
weight increased,potato drug bcuz that's what i looked like,lost 17 pounds
weight increased,weight-gaining,feel sooooooo weird
weight increased,gain 20 lbs,drowsy
weight increased,increase my weight,stuffy sinuses
weight increased,gain weight,depressed
weight increased,fat.,nightmare
weight increased,weight still keeps coming,disconnected
weight increased,gain unwanted pounds,twitch
weight increased,olanzapine lbs,nasty
weight increased,gain alot of weight,nausea
weight increased,weight-gaining,crazier
weight increased,gain weight,energy
weight increased,weight-gaining,depressed
weight increased,weight gain,sick
weight increased,weight gain,twerk me out
weight increased,weight still keeps coming,rid of my appetite
weight increased,fat,sick
weight increased,put much weight on,addiction
weight increased,increase my weight,appetite is still terrible
weight increased,gain weight,not stay up
weight increased,gained 40lbs,can't sleep
weight increased,gained 3stone,withdrawls
weight increased,put on weight,shakes
weight increased,gain weight,hair falling out
weight increased,gained 50,sleep paralysis
weight increased,fat,angry
weight increased,olanzapine lbs,bruises
weight increased,olanzapine lbs,vertigo
weight increased,weight gain,broken sleep
weight increased,potato drug bcuz that's what i looked like,allergic
weight increased,weight-gaining,zombie
weight increased,weight-gaining,hit hard
weight increased,gain unwanted pounds,tired
weight increased,gain weight,walking dead
weight increased,weight gain,withdrawls
weight increased,weight gain,withdrawal
weight increased,weight gain,felt nothing
weight increased,weight,high
weight increased,fat,may not switch your brain off
weight increased,gain weight,dreams
weight increased,fat,tremors in hands
weight increased,look like a whale,insomnia
weight increased,gain weight,stop breathin
weight increased,added 1 stone,nosleep
weight increased,weight gain,loss of appetite
weight increased,gained 40lbs,aches
weight increased,added 1 stone,paranoia
weight increased,increase my weight,zombified
weight increased,gain unwanted pounds,overheating
weight increased,fat.,irritating my nerve endings
weight increased,put on weight,heart attack
weight increased,gained 30 lbs,floatin
weight increased,gained 40lbs,sweating
white blood cell count increased,t cell went up,irritating my nerve endings
withdrawal syndrome,withdrawal,not let me sleep
withdrawal syndrome,withdraw,cannot be in the sun
withdrawal syndrome,withdrawl,cravings 
withdrawal syndrome,withdrawals,dry eyed
withdrawal syndrome,coming off cymbalta sucks,hair falling out
withdrawal syndrome,coming off effexor was the worst,panic attacks
withdrawal syndrome,withdrawals,hangover
withdrawal syndrome,withdrawal,sinuses close up
withdrawal syndrome,withdrawal,weight gain
withdrawal syndrome, withdrawls,wailed
withdrawal syndrome,withdrawal,feeling weird
withdrawal syndrome,withdrawls,tourettes
withdrawal syndrome,withdrawl,crazy ish
withdrawal syndrome,discontinuation syndrome,lightheadeded 
withdrawal syndrome,withdrawals,zombified
withdrawal syndrome,withdrawal,cleaned my entire kitchen
withdrawal syndrome,withdrawals,puking
withdrawal syndrome,withdrawals,rebound
withdrawal syndrome,withdrawal,panic attacks
withdrawal syndrome,withdrawal,need to be awake
withdrawal syndrome,withdrawal,painful
withdrawal syndrome,with drawls,zombie
withdrawal syndrome,withdrawal,drowsy
withdrawal syndrome,withdrawal,tired
withdrawal syndrome,coming off effexor was the worst,aches
withdrawal syndrome,coming off it,gained 30 lbs
withdrawal syndrome,withdrawals,cry 
withdrawal syndrome,withdrawals,space me out
withdrawal syndrome,withdrawal,walking painful
withdrawal syndrome,coming off cymbalta sucks,feeling like shit
withdrawal syndrome,withdrawal,kicking my ass
withdrawal syndrome,withdrawal,joint pain
withdrawal syndrome,feels like when you come off heroin,intense dreams
withdrawal syndrome,withdrawals,drunk
withdrawal syndrome,withdraw,horrendous venlafaxine dream
withdrawal syndrome,withdrawal,fuck with your head
withdrawal syndrome,withdrawal,coming off
withdrawal syndrome,withdrawal,disconnected
withdrawal syndrome,coming off it,allergic reaction
withdrawal syndrome,withdrawal,driving me insane
withdrawal syndrome,withdrawals,swollen feet
withdrawal syndrome,withdrawal,feels like one of those 5-cup #coffee days
withdrawal syndrome,discontinuation syndrome,messing with my sleep
withdrawal syndrome,withdrawals,sloth
withdrawal syndrome,withdrawal,sedated 
withdrawal syndrome,withdrawal,stops you from jizzing
withdrawal syndrome,withdraws,addicted
withdrawal syndrome,coming off cymbalta sucks,light nights sleep
withdrawal syndrome,withdraw,can't sleeeep
withdrawal syndrome,withdrawals,amnesic
withdrawal syndrome,withdrawal,lethargy
withdrawal syndrome,withdrawls,felt nothing
withdrawal syndrome,withdraw,3 days of hell
withdrawal syndrome,with drawls,eyesight
withdrawal syndrome,withdrawal,asleep 24/7
withdrawal syndrome,withdrawal,pains
withdrawal syndrome,withdrawal,tired
withdrawal syndrome,withdrawals,jcv
withdrawal syndrome,withdrawal,drip
withdrawal syndrome,withdraw,fucks up my sleep
withdrawal syndrome,withdrawals,sucidal thoughts
withdrawal syndrome,coming off effexor is not fun,cant feel my throat
withdrawal syndrome,withdrawal,addicted
withdrawal syndrome,feels like when you come off heroin,exhausted
withdrawal syndrome,withdrawals,sleep less
withdrawal syndrome,withdrawal ,addiction
withdrawal syndrome,sucked going from 100mg desvenlafaxine / day to zero,dream all types of crazy
withdrawal syndrome,withdrawl,out if it
withdrawal syndrome,withdrawals,sedated 
yawning,yawn,tremors
yawning,yawning,hallucinations
