ENG,term_HLT,term_HLGT,term_SOC
Rhinomanometry abnormal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Carbohydrate tolerance decreased,Carbohydrate tolerance analyses (incl diabetes),"Metabolic, nutritional and blood gas investigations",Investigations
Enteroclysis,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Dislocation of sternum,Thoracic cage fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications"
Oesophagogastroduodenoscopy normal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Cardiopulmonary bypass,Cardiac therapeutic procedures NEC,Cardiac therapeutic procedures,Surgical and medical procedures
Cellulitis laryngeal,Upper respiratory tract infections,Infections - pathogen unspecified,Infections and infestations
Implant site bruising,Implant and catheter site reactions,Administration site reactions,General disorders and administration site conditions
Acquired oesophageal web,Oesophageal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders
Peri-implantitis,Dental and oral soft tissue infections,Infections - pathogen unspecified,Infections and infestations
Blood isopropanol,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Chronic myelomonocytic leukaemia,Myelodysplastic syndromes,Leukaemias,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Intra-amniotic injection,Obstetric therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Mittendorf dot,Lens disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Spinal laminectomy,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Parasite cervical specimen test positive,Parasite identification and serology,Microbiology and serology investigations,Investigations
Natural killer cell count,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Bacterial prostatitis,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Douglas' abscess,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Metastases to spleen,Metastases to specified sites,Metastases,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Ultrasound skull abnormal,Central nervous system imaging procedures,"Neurological, special senses and psychiatric investigations",Investigations
Autoresuscitation,General signs and symptoms NEC,General system disorders NEC,General disorders and administration site conditions
Bronchotomy,Bronchial and pulmonary therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures
Cardiolipin antibody,Autoimmunity analyses,Immunology and allergy investigations,Investigations
ALK gene rearrangement positive,Gene analyses,Cytogenetic investigations,Investigations
Maternal death during childbirth,Maternal complications of delivery NEC,Maternal complications of labour and delivery,"Pregnancy, puerperium and perinatal conditions"
Poverty,Economic circumstances,Economic and housing issues,Social circumstances
Implant site haematoma,Implant and catheter site reactions,Administration site reactions,General disorders and administration site conditions
Peripheral sensory neuropathy,Peripheral neuropathies NEC,Peripheral neuropathies,Nervous system disorders
Hepatitis neonatal,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders
Prophylaxis against alcoholic withdrawal syndrome,Drug withdrawal therapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Cisternal puncture,Neurologic diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Biopsy stomach abnormal,Gastrointestinal histopathology procedures,Gastrointestinal investigations,Investigations
Campylobacter gastroenteritis,Campylobacter infections,Bacterial infectious disorders,Infections and infestations
Abnormal product of conception,Abortion related conditions and complications,Abortions and stillbirth,"Pregnancy, puerperium and perinatal conditions"
Blood triglycerides abnormal,Triglyceride analyses,Lipid analyses,Investigations
Aortic annulus rupture,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Bladder catheter replacement,Therapeutic bladder catheterisation,Renal and urinary tract therapeutic procedures,Surgical and medical procedures
Gastric sarcoma,Gastric neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Pancreatic pseudoaneurysm,Pancreatic disorders NEC,Exocrine pancreas conditions,Gastrointestinal disorders
Eye exercises,Eye therapeutic procedures NEC,Eye therapeutic procedures,Surgical and medical procedures
Eyelid myoclonus,Eyelid movement disorders,Ocular neuromuscular disorders,Eye disorders
Rickettsioses not tick borne,Rickettsial infectious disorders NEC,Rickettsial infectious disorders,Infections and infestations
Thyroid cancer stage III,Thyroid neoplasms malignant,Endocrine neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Extragonadal primary germ cell tumour mixed stage III,Extragonadal primary germ cell neoplasms,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Injection site injury,Injection site reactions,Administration site reactions,General disorders and administration site conditions
Electronystagmogram abnormal,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Pelvic inflammatory disease mycoplasmal,Mycoplasma infections,Mycoplasmal infectious disorders,Infections and infestations
Activated partial thromboplastin time normal,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Lipofibroma,Soft tissue neoplasms benign NEC,Soft tissue neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Blood immunoglobulin A normal,Immunoglobulin analyses,Immunology and allergy investigations,Investigations
Mammogram normal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Adenocarcinoma of colon,Colorectal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Blood pressure diastolic increased,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Investigations
Testicular abscess,Male reproductive tract infections,Infections - pathogen unspecified,Infections and infestations
Corynebacterium test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Retro-pubic prostatectomy,Prostatic therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures
Secondary thrombocytosis,Thrombocytoses,Platelet disorders,Blood and lymphatic system disorders
Normal pressure hydrocephalus,Hydrocephalic conditions,Increased intracranial pressure and hydrocephalus,Nervous system disorders
Anal cancer stage II,Anal canal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Necrotising retinitis,"Retinal, choroid and vitreous infections and inflammations","Ocular infections, irritations and inflammations",Eye disorders
Ocular retrobulbar haemorrhage,Ocular bleeding and vascular disorders NEC,Ocular haemorrhages and vascular disorders NEC,Eye disorders
Allen's test,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Investigations
Pantoea agglomerans infection,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Colour blindness acquired,Colour blindness (incl acquired),Vision disorders,Eye disorders
Fungal test negative,Fungus identification and serology,Microbiology and serology investigations,Investigations
Ear neoplasm,Aural neoplasms malignant and unspecified,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Apoptosis,Cell metabolism disorders NEC,Metabolism disorders NEC,Metabolism and nutrition disorders
Periorbital haemorrhage,Eye injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Vaginal haemorrhage,Vulvovaginal disorders NEC,Vulvovaginal disorders (excl infections and inflammations),Reproductive system and breast disorders
Umbilical cord blood pH,Foetal and neonatal diagnostic procedures,Foetal and neonatal investigations,Investigations
Plethysmography,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Investigations
Klebsiella infection,Klebsiella infections,Bacterial infectious disorders,Infections and infestations
Stickler's syndrome,Retinal disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Ovarian dysgerminoma stage IV,Ovarian germ cell neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Optic nerve injury,Cranial nerve injuries,Injuries NEC,"Injury, poisoning and procedural complications"
Myeloperoxidase deficiency,Immune system abnormalities congenital,Immune system disorders congenital,"Congenital, familial and genetic disorders"
Inflammatory carcinoma of breast stage IV,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
