,LLT,PT
594,old disruption of lateral collateral ligament,ligament rupture
595,allergen nos skin test negative,skin test negative
596,bun abnormal,blood urea abnormal
597,retinal necrosis,necrotising retinitis
598,clearance creatinine abnormal,creatinine renal clearance abnormal
599,oesophageal carcinoma abdominal recurrent,oesophageal carcinoma recurrent
600,mandibular prognathism,prognathism
601,koenen's tumor,tuberous sclerosis complex
602,periorbital bleeding,periorbital haemorrhage
603,"hereditary haemolytic anaemia, unspecified",hereditary haemolytic anaemia
604,histoplasma capsulatum infection disseminated,histoplasmosis disseminated
605,colic biliary,biliary colic
606,lumbodynia,back pain
607,taste abnormality,taste disorder
608,anti-u1 snrnp antibody,antinuclear antibody
609,open wound of back,back injury
610,diffuse mixed small and large cell lymphoma (nodal marginal zone b-cell lymphoma) stage iv,nodal marginal zone b-cell lymphoma stage iv
611,retroauricular cellulitis,cellulitis
612,gastrointestinal perforation (nos),gastrointestinal perforation
613,bcc excision,skin neoplasm excision
614,finger injury,limb injury
615,anterior knee pain syndrome,patellofemoral pain syndrome
616,splenic bleeding,splenic haemorrhage
617,urticaria generalised,urticaria
618,bite nos,bite
619,biliary stones,cholelithiasis
620,nasal septum hematoma,nasal septum haematoma
621,gestational edema,gestational oedema
622,adhesiveness platelet abnormal (nos),platelet adhesiveness abnormal
623,prophylaxis against lung transplant rejection,prophylaxis against transplant rejection
624,sputum expectoration difficult,sputum retention
625,intentional use for unlabeled indication,intentional product use issue
626,pulse irregularity nos,heart rate irregular
627,braces removal,orthodontic procedure
628,manic excitement,mania
629,puerperal psychosis,"brief psychotic disorder, with postpartum onset"
630,forced expiratory volume/forced vital capacity ratio decreased,fev1/fvc ratio decreased
631,acquired hypertrophic pyloric stenosis,obstruction gastric
632,fetal heart rate acceleration abnormality,foetal heart rate acceleration abnormality
633,tendon elongation,tenotomy
634,genital disorder male,male reproductive tract disorder
635,couples psychotherapy,psychotherapy
636,lymphoid leukemia,lymphocytic leukaemia
637,"generalised infection during labour, unspecified as to episode of care",systemic infection
638,application site peeling,application site exfoliation
639,leukoaraiosis,white matter lesion
640,vep's normal,visual evoked potentials normal
641,interscapular pain,musculoskeletal pain
642,human herpes virus 7 test positive,roseolovirus test positive
643,off label dosing frequency,off label use
644,keratitis viral nos,keratitis viral
645,time coagulation shortened,coagulation time shortened
646,abdominal spasm,abdominal rigidity
647,cerebrovascular disorder nos foetal,foetal cerebrovascular disorder
648,acquired deformity of pelvis,pelvic deformity
649,paroxysmal ventricular tachycardia,ventricular tachycardia
650,breast carcinoma nos,breast cancer
651,"closed dislocation, fifth cervical vertebra",dislocation of vertebra
652,out of specification test results impurity,out of specification test results
653,"benign neoplasm of eyeball, excl conjunctiva, cornea, retina, and choroid",benign neoplasm of eye
654,teeth mottled,tooth discolouration
655,gastrointestinal angiodysplasia haemorrhagic,gastrointestinal vascular malformation haemorrhagic
656,climacteric arthritis involving hand,arthritis climacteric
657,injury to superior vena cava,vena cava injury
658,euphoric,euphoric mood
659,chlamydial endometritis,gynaecological chlamydia infection
660,acute apical periodontitis of pulpal origin,periodontitis
661,device adhesion decreased,device adhesion issue
662,bisphosphonate-related osteonecrosis of the jaw,osteonecrosis of jaw
663,accident cerebrovascular,cerebrovascular accident
664,incontinence fecal,anal incontinence
665,hypochloremic alkalosis,alkalosis hypochloraemic
666,mediterranean anemia,thalassaemia beta
667,hepatocellular disturbances,hepatocellular injury
668,scar corneal,corneal scar
669,cigar smoker,tobacco user
670,unspecified psychophysiological malfunction,mental disorder
671,slow reflow phenomenon,reperfusion injury
672,hiv repeat reactive,hiv test positive
673,sudden deafness,sudden hearing loss
674,"tuberculosis of peripheral lymph nodes, unspecified examination",tuberculosis of peripheral lymph nodes
675,tuberculosis of spleen,spleen tuberculosis
676,variant angina,prinzmetal angina
677,urethral disorder nos,urethral disorder
678,myopia transient,pseudomyopia
679,gait rigid,parkinsonian gait
680,anesthesia general,general anaesthesia
681,diffuse large cell lymphoma (diffuse large b-cell lymphoma) (working formulation) refractory,diffuse large b-cell lymphoma refractory
682,haemotympanum,haematotympanum
683,diverticulitis of small intestine with hemorrhage,diverticulitis intestinal haemorrhagic
684,schilling test normal,vitamin b12 absorption test normal
685,taste salty,dysgeusia
686,renal function abnormal glomer,renal impairment
687,vascular hemophilia,von willebrand's disease
688,arthritis infective nos,arthritis infective
689,effusion of elbow,joint effusion
690,alternation between constipation and diarrhea,gastrointestinal motility disorder
691,juvenile rheumatoid arthritis,juvenile idiopathic arthritis
692,colpectomy,vaginectomy
693,gonadoblastoma,germ cell neoplasm
694,groin tinea,tinea cruris
695,schaumann's disease,sarcoidosis
696,staphylococcus aureus gastroenteritis,gastroenteritis staphylococcal
697,tone increased,hypertonia
698,acute blood loss anemia,blood loss anaemia
699,unresponsive to pain stimuli,unresponsive to stimuli
700,sinusitis chronic nos,chronic sinusitis
701,mitogen stimulation test nos abnormal,mitogen stimulation test abnormal
702,late effects of other infectious and parasitic diseases,infection
703,intradiscal electrothermal therapy,intervertebral disc operation
704,large cell carcinoma of the respiratory tract stage 0,large cell lung cancer stage 0
705,afebrile seizure,seizure
706,subdural hematoma evacuation,subdural haematoma evacuation
707,pseudocowpox,paravaccinia
708,unspecified disease of respiratory system,respiratory disorder
709,auditory hypoacuity,hypoacusis
710,psychosis postpartum,"brief psychotic disorder, with postpartum onset"
711,muscle bleeding,muscle haemorrhage
712,periapical dental abscess,tooth abscess
713,magnesium decreased,blood magnesium decreased
714,radial nerve lesion nos,peripheral nerve lesion
715,poisoning by antirheumatics (antiphlogistics),toxicity to various agents
716,regional ventricular hypokinesia,ventricular hypokinesia
717,"cleft lip, bilateral, complete",cleft lip
718,chronic frontal sinusitis,chronic sinusitis
719,disseminated necrotizing leukoencephalopathy,leukoencephalopathy
720,pseudohallucination,hallucination
721,t-cell lymphoblastic leukemia acute,t-cell type acute leukaemia
722,opiates nos increased,opiates positive
723,leukoplakia lingualis,leukoplakia oral
724,meningitis due to trypanosomiasis,meningitis trypanosomal
725,small noncleaved follicular center cell lymphoma (high grade b-cell burkitt-like lymphoma) stage iv,high grade b-cell lymphoma burkitt-like lymphoma stage iv
726,chromium increased,blood chromium increased
727,white film in mouth,coating in mouth
728,human granulocytic ehrlichiosis,human anaplasmosis
729,chromosomal deletion nos,chromosomal deletion
730,knock-knee,knee deformity
731,hemoglobin c disease,haemoglobin c disease
732,"x-ray of thigh, knee & lower leg normal",x-ray limb normal
733,mycobacterium leprae infection (tuberculoid),tuberculoid leprosy
734,iron high,blood iron increased
735,white blood cells,white blood cell count
736,ocular photosensitivity,photophobia
737,chemical burn of penis,chemical burn of genitalia
738,reaction to medical agent preservatives,reaction to preservatives
739,cluster headaches,cluster headache
740,gardnerella vaginalis vaginitis,vaginitis gardnerella
741,baby premature,premature baby
742,hypercapnic,hypercapnia
743,iodine contrast media allergy,contrast media allergy
744,learning disorder nos,learning disorder
745,cellulitis genital organ (male),cellulitis of male external genital organ
746,cutaneous ureterostomy,urostomy
747,cross sensitivity reaction,therapeutic product cross-reactivity
748,tenseness,tension
749,ankle microhaemorrhage,joint microhaemorrhage
750,compression of brain,brain compression
751,malignant neoplasm of fallopian tube stage iii,fallopian tube cancer stage iii
752,multi gravida,multigravida
753,protein urine positive,protein urine present
754,anti-hiv test (eia),hiv antibody
755,night cramps,muscle spasms
756,vaccine-induced seropositivity,vaccine-induced seroconversion
757,feminization laryngoplasty,laryngoplasty
758,labor onset delayed,prolonged pregnancy
759,large bowel stricture,large intestinal stenosis
760,multiform ventricular tachycardia,ventricular tachycardia
761,glaucoma (excl congenital),glaucoma
762,ectopic corticotrophin syndrome,ectopic acth syndrome
763,plasma alkaline phosphatase nos,blood alkaline phosphatase
764,"keratoderma, acquired",hyperkeratosis
765,renal threshold phosphate concentration,fractional excretion of phosphate
766,lower limb x-ray abnormal,x-ray limb abnormal
767,pemphigus vulgaris,pemphigus
768,malignant neoplasm of lower jaw bone,bone cancer
769,manic state aggravated,mania
770,partial transitory deafness,deafness transitory
771,infarct myocardial,myocardial infarction
772,idiopathic pneumothorax,pneumothorax spontaneous
773,jugular venous pressure increased,venous pressure jugular increased
774,total anomalous pulmonary venous connection,anomalous pulmonary venous connection
775,increased shortness of breath,dyspnoea
776,tonic-clonic convulsion,generalised tonic-clonic seizure
777,measles nos antibody positive,measles antibody positive
778,micrococcal septicaemia,micrococcal sepsis
779,"congenital pulmonary valve anomaly, unspecified",congenital pulmonary valve disorder
780,full-thickness skin loss due to burn (third degree nos) of ear (any part),burns third degree
781,other haemoglobinopathies,haemoglobinopathy
782,spect abnormal,single photon emission computerised tomogram abnormal
783,erythema due to burn (first degree) of unspecified site of upper limb,burns first degree
784,malignant neoplasm of colon,colon cancer
785,oil allergy,food allergy
786,arsenic normal,blood arsenic normal
787,tuberculosis of knee,joint tuberculosis
788,lumbalgia,back pain
789,pulse pressure narrow,pulse pressure decreased
790,coagulation factors decreased,coagulation factor decreased
791,"tuberculosis of intrathoracic lymph nodes, confirmed by animal inoculation",tuberculosis of intrathoracic lymph nodes
792,pyeloureteritis,pyelitis
793,"keratoconjunctivitis, unspecified",keratitis
794,chlamydia trachomatis infection,chlamydial infection
795,iatrogenic tumour implantation,iatrogenic metastasis
796,alternation,heart alternation
797,oesophageal duplication cyst,oesophageal cyst
798,intraoperative hemorrhage,procedural haemorrhage
799,withdrawn,social avoidant behaviour
800,"unspecified monoarthritis, site unspecified",arthritis
801,"fracture of sternum, closed",sternal fracture
802,portacaval shunt,portal shunt procedure
803,acquired immunodeficiency syndrome nos,acquired immunodeficiency syndrome
804,"acute sinusitis, maxillary",acute sinusitis
805,hypoaesthesia tongue,hypoaesthesia oral
806,parenteral fluid replacement,fluid replacement
807,schizophrenic spouse,schizophrenic relative
808,exposure to heat,exposure to extreme temperature
809,delayed healing of oral wound,impaired healing
810,kidney abscess,renal abscess
811,thermography normal,thermogram normal
812,arthropathy neurogenic,neuropathic arthropathy
813,malaria rapid diagnostic test,malaria antigen test
814,contusion of knee,contusion
815,necrotic intraocular melanoma,intraocular melanoma
816,crushing injury of toe(s),limb crushing injury
817,injury to spleen with open wound into cavity,splenic rupture
818,hypervolemia,hypervolaemia
819,oral nodule,oral disorder
820,anaemia haemolytic dcp,coombs positive haemolytic anaemia
821,hemophilia b with anti factor ix,haemophilia b with anti factor ix
822,thyroid nodular,thyroid mass
823,stroke recrudescence,cerebrovascular accident
